CountyName,RecType,"Region-2
County-3
District-4",Type,School,FacilityName,Administrator,Mailing Address,Delivery Address,City,Zip,Telephone,GradeServed,State House District,StSen,FedCong,Cat,NCES ID
,,,,,,,,,,,,,,,,,
Adams,Dist,010010010,26,0000,Payson CUSD 1,Dr. Donna Veile,406 W State St,,Payson,62360 1041,217656-3323,P-12,094,47,18,2,1730990
Adams,Sch,010010010,26,0001,Seymour High School,Mrs. Dawn VanCamp,420 W Brainard St,,Payson,62360 1033,217656-3355,7-12,094,47,18,4,173099003226
Adams,Sch,010010010,26,2002,Seymour Elementary School,Ms. Julie Phelan,404 W State St,,Payson,62360 1041,217656-3323,P-6,094,47,18,4,173099003225
Adams,Dist,010010020,26,0000,Liberty CUSD 2,Mrs. Kelle Bunch,505 N Park St,,Liberty,62347 1107,217645-3433,P-12,094,47,18,2,1722770
Adams,Sch,010010020,26,0001,Liberty High School,Mr. Justin Edgar,505 N Park St,,Liberty,62347 1107,217645-3433,7-12,094,47,18,4,172277002524
Adams,Sch,010010020,26,2002,Liberty Elementary School,Mrs. Jody Obert,505 N Park St,,Liberty,62347 1107,217645-3481,P-6,094,47,18,4,172277002523
Adams,Dist,010010030,26,0000,Central CUSD 3,Mrs. Erica Smith,2110 Highway 94 N,,Camp Point,62320 2516,217593-7116,P-12,094,47,18,2,1708220
Adams,Sch,010010030,26,0001,Central High School,Mr. Martin W Cook,2110 Highway 94 N,,Camp Point,62320 2516,217593-7731,9-12,094,47,18,4,170822000431
Adams,Sch,010010030,26,1001,Central Junior High School,Mr. Wayne Krus,2110 Highway 94 N,,Camp Point,62320 2516,217593-7741,5-8,094,47,18,4,170822005402
Adams,Sch,010010030,26,2003,Central Elementary Grade School,Mr. Eric Stotts,PO Box 379,109 W School St,Camp Point,62320 0379,217593-7795,P-2,094,47,18,4,170822000430
Adams,Sch,010010030,26,2008,Central 3-4 Middle School,Mrs. Chevi Ingalls,PO Box 219,301 Hanna St,Golden,62339 0219,217696-4652,3-4,094,47,18,4,170822005403
Adams,Dist,010010040,26,0000,CUSD 4,Mr. Scott Riddle,PO Box 200,453 W Collins St,Mendon,62351 0200,217936-2111,P-12,094,47,18,2,1725590
Adams,Sch,010010040,26,0001,Unity High School,Mr. Joshua Arnsman,PO Box 200,453 W Collins St,Mendon,62351 0200,217936-2116,9-12,094,47,18,4,172559002771
Adams,Sch,010010040,26,2006,Unity Elementary School,Jerry Ellerman,136 W Washington St,136 W Washington St,Mendon,62351 1223,217936-2512,P-5,094,47,18,4,172559004734
Adams,Sch,010010040,26,2007,Unity Middle School,Mr. Joshua Arnsman,PO Box 200,453 W Collins St,Mendon,62351 0200,217936-2727,6-8,094,47,18,4,172559006360
Adams,Dist,010011720,22,0000,Quincy SD 172,Mr. Roy Webb,1416 Maine St,,Quincy,62301 4261,217223-8700,P-12,094,47,18,2,1733000
Adams,Sch,010011720,22,0003,Quincy Sr High School,Mr. Jody Steinke,3322 Maine St,,Quincy,62301 4439,217224-3770,9-12,094,47,18,4,173300005053
Adams,Sch,010011720,22,1003,Quincy Jr High School,Mr. Dan Sparrow,100 S 14th St,,Quincy,62301 4209,217222-3073,6-8,094,47,18,4,173300005054
Adams,Sch,010011720,22,2004,Sarah Atwater Denman Elementary School,Ms. Chrissy Cox,4100 Harrison Street,,Quincy,62305 6030,217222-2530,K-5,094,47,18,4,173300005055
Adams,Sch,010011720,22,2006,Colonel George Iles Elementary School,Mr. Brad Funkenbusch,3111 N 12th St,,Quincy,62305,217222-4059,K-5,094,47,18,4,173300005056
Adams,Sch,010011720,22,2009,Thomas S Baldwin Elementary School,Mr. James Sohn,3000 Maine St,,Quincy,62301 4417,217223-0003,K-5,094,47,18,4,173300003359
Adams,Sch,010011720,22,2016,Lincoln-Douglas Elementary School,Mr. Brian Trowbridge,3211 Payson Rd,,Quincy,62305 6441,217223-8871,K-5,094,47,18,4,173300005059
Adams,Sch,010011720,22,2017,Dr. Abby Fox Rooney Elementary School,Ms. Melanie Schrand,4900 Columbus Rd,,Quincy,62305,217228-7117,K-5,094,47,18,4,173300005060
Adams,Sch,010011720,22,3004,Early Childhood,Mrs. Sara Cramer,401 S 8th St,,Quincy,62301 4149,217228-7121,"P,K",094,47,18,4,173300005520
Adams,Sch,010011720,22,3005,Adams Co Juvenile Detention Cntr,Marlene Hellhake,200 N 52nd St,,Quincy,62305 9114,217223-8700,5-12,094,47,18,4,173300005082
Brown,Dist,010050010,26,0000,Brown County CUSD 1,Mrs. Vicki Phillips,503 NW Cross St,,Mount Sterling,62353 1149,217773-7410,P-12,093,47,18,2,1727300
Brown,Sch,010050010,26,0001,Brown County High School,Mrs. Pollee Craven,500 E Main St,,Mount Sterling,62353 1377,217773-7702,9-12,093,47,18,4,172730002893
Brown,Sch,010050010,26,1002,Brown County Middle School,Ms. Sally Ruble,504 E Main Street,,Mount Sterling,62353 1377,217773-7500,5-8,093,47,18,4,172730005720
