RCDTS,Type,School Name,District,City,County,District Type,District Size,School Type,Grades Served,Summative Designation,Summative Designation: Student Group(s),Title 1 Status,State Senate District,State Representative District,EBF Tier,% EBF Capacity to Meet Expectations,# School Enrollment,$ Site-Level Per-Pupil Expenditures - Federal,$ Site-level Per-Pupil Expenditures - State/Local,$ Site-level PEr-Pupil Expenditures - Subtotal,$ District Centralized Per-Pupil Expenditure - Federal,$ District Centralized Per-Pupil Expenditure - State/Local,$ District Centralized Per-Pupil Expenditure - Subtotal,$ Total Per-Pupil Expenditures - Federal,$ Total Per-Pupil Expenditures - State/Local,$ Total Per-Pupil Expenditures - Subtotal,$ Exclusions,$ Total Expenditures,$ Local Property Taxes 2017-18,% Local Property Taxes 2017-18,$ Other Local Funding 2017-18,% Other Local Funding 2017-18,$ General State Aid 2017-18,% General State Aid 2017-18,$ Other State Funding 2017-18,% Other State Funding 2017-18,$ Federal Funding 2017-18,% Federal Funding 2017-18,$ Total Revenue Source 2017-18,$ EAV per Pupil 2017-18,$ Total School Tax Rate per $100 2017-18,$ Instructional Expenditure per Pupil 2017-18,$ Operating Expenditures 2017-18,$ Instruction 2017-18,% Instruction 2017-18,$ General Admin 2017-18,% General Admin 2017-18,$ Supporting Services 2017-18,% Supporting Services 2017-18,$ Other Expenditures 2017-18,% Other Expenditures 2017-18,$ Education Fund 2017-18,% Education Fund 2017-18,$ Operations/B/M 2017-18,% Operations/B/M 2017-18,$ Transportation 2017-18,% Transportation 2017-18,$ Debt Service 2017-18,% Debt Service 2017-18,$ Tort 2017-18,% Tort 2017-18,$ Munic. Ret. / Soc. Security 2017-18,% Munic. Ret. / Soc. Security 2017-18,$ Fire Prev. & Safety 2017-18,% Fire Prev. & Safety 2017-18,$ Capital Projects Fund 2017-18,% Capital Projects Fund 2017-18,$ Total Expenditures 2017-18
010010010260000,District,,Payson CUSD 1,Payson,Adams,UNIT,MEDIUM,,,,,,,,1,63.1,556,489.4460432,4802.061151,5291.507194,303.1510791,2557.5,2860.651079,792.5971223,7359.561151,8152.158273,691160,5223760,2704418,45.3,282296,4.7,2083887,34.9,449915,7.5,442972,7.4,5963488,100533.23,5.19,4539.49,8388.49,2322583,44.8,586383,11.3,1371578,26.5,898347,17.3,3352302,64.7,201268,3.9,330704,6.4,501404,9.7,530179,10.2,136304,2.6,126730,2.4,0,0,5178891
010010010260001,School,Seymour High School,Payson CUSD 1,Payson,Adams,UNIT,MEDIUM,HIGH SCHOOL, 7 8 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",47,94,1,63.1,238,311,5370,5681,294,2637,2931,605,8007,8612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010010010262002,School,Seymour Elementary School,Payson CUSD 1,Payson,Adams,UNIT,MEDIUM,ELEMENTARY,PK K 1 2 3 4 5 6,Commendable,All Students,Schoolwide Title I Program,47,94,1,63.1,318,623,4377,5000,310,2498,2808,933,6875,7808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010010020260000,District,,Liberty CUSD 2,Liberty,Adams,UNIT,MEDIUM,,,,,,,,2,70.5,640.5,333.1288056,5890.400468,6223.529274,198,2561,2759,531.1288056,8451.400468,8982.529274,320946.48,6074256.48,2489804,41.1,426181,7,2148189,35.4,666532,11,330557,5.5,6061263,111522.16,3.97,5775.29,9264.87,3175079,56.2,618340,10.9,1464464,25.9,394407,7,4138623,73.2,302449,5.4,421724,7.5,125007,2.2,492394,8.7,163893,2.9,8200,0.1,0,0,5652290
010010020260001,School,Liberty High School,Liberty CUSD 2,Liberty,Adams,UNIT,MEDIUM,HIGH SCHOOL, 7 8 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",47,94,2,70.5,286.5,358,6547,6905,198,2561,2759,556,9108,9664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010010020262002,School,Liberty Elementary School,Liberty CUSD 2,Liberty,Adams,UNIT,MEDIUM,ELEMENTARY,PK K 1 2 3 4 5 6,Commendable,All Students,Schoolwide Title I Program,47,94,2,70.5,354,313,5359,5672,198,2561,2759,511,7920,8431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010010030260000,District,,Central CUSD 3,Camp Point,Adams,UNIT,MEDIUM,,,,,,,,1,64.1,843.75,280.3307511,5036.172656,5316.503407,525.0821,3620.1878,4145.2699,805.4128511,8656.360456,9461.773307,248717,8232088.228,3303240,39.7,438779,5.3,3267613,39.3,549927,6.6,752029,9,8311588,106658.85,3.64,5361.85,8855.19,4412534,56.9,813096,10.5,2360328,30.5,164844,2.1,6100279,78.7,349266,4.5,461007,5.9,0,0,560732,7.2,258832,3.3,20686,0.3,0,0,7750802
010010030260001,School,Central High School,Central CUSD 3,Camp Point,Adams,UNIT,MEDIUM,HIGH SCHOOL, 9 10 11 12,Commendable,All Students,"Eligible, but Not a Participant in Title I Program",47,94,1,64.1,239.5,240.6874,6940.4054,7181.0928,525.0821,3620.1878,4145.2699,765.7695,10560.5932,11326.3627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010010030261001,School,Central Junior High School,Central CUSD 3,Camp Point,Adams,UNIT,MEDIUM,MIDDLE SCHL, 5 6 7 8,Commendable,All Students,Schoolwide Title I Program,47,94,1,64.1,285,300.2968,3147.7536,3448.0504,525.0821,3620.1878,4145.2699,825.3789,6767.9414,7593.3203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010010030262003,School,Central Elementary Grade School,Central CUSD 3,Camp Point,Adams,UNIT,MEDIUM,ELEMENTARY,PK K 1 2,Commendable,All Students,Schoolwide Title I Program,47,94,1,64.1,194.25,317.0381,5921.6819,6238.72,525.0821,3620.1878,4145.2699,842.1202,9541.8697,10383.9899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
