CountyName,RecType,"Region-2
County-3
District-4",Type,School,FacilityName,Administrator,Address,City,Zip,Telephone,GradeServed,State House District,StSen,FedCong,Cat,NCES ID
,,,,,,,,,,,,,,,,
Winnebago,District Authorized Charter Sch,041012050,25,203C,Jackson Charter School,Shavina Pierre,315 Summit St,Rockford,61107 4231,815316-0093,K-5,067,34,17,4,173451006154
Winnebago,District Authorized Charter Sch,041012050,25,201C,Legacy Acad of Excellence Charter Sch,Barbara Forte,4029 Prairie Rd,Rockford,61102 4501,815961-1100,K-12,069,35,17,4,173451006077
Winnebago,District Authorized Charter Sch,041012050,25,202C,Galapagos Rockford Charter Sch,Michael G Lane,2605 School St,Rockford,61101 5264,815708-7946,K-8,067,34,17,4,173451006044
Cook,State Authorized Charter,070169010,25,0000,Southland College Prep Charter High School,Dr. Blondean Davis,4601 Sauk Trl,Richton Park,60471 1470,708748-0100,9-12,038,19,02,2,1701400
Cook,State Authorized Charter Sch,070169010,25,001C,Southland College Prep Charter High School,Dr. Blondean Davis,4601 Sauk Trl,Richton Park,60471 1470,708748-0100,9-12,038,19,02,4,170140006135
Cook,District Authorized Charter Sch,150162990,25,232C,Catalyst Charter - Maria ES,Dawn Sandoval,6727 S California Ave,Chicago,60629 1816,773993-1770,K-12,006,03,01,4,170993006243
Cook,District Authorized Charter Sch,150162990,25,233C,Montessori of Englewood Chtr ES,Rita Nolan,6936 S Hermitage Ave,Chicago,60636 3333,773535-9255,P-8,032,16,07,4,170993006221
Cook,District Authorized Charter Sch,150162990,25,019C,Legal Prep Academy Charter HS,Ms. Katie Jo Ramirez,4319 W Washington Blvd,Chicago,60624 2232,773922-7800,9-12,010,05,07,4,170993006241
Cook,District Authorized Charter Sch,150162990,25,020C,IJLA Charter High School,Ms. Jennifer Ventimiglia,2570 S Blue Island,Chicago,60608,773890-8060,9-12,002,01,04,4,170993006238
Cook,District Authorized Charter Sch,150162990,25,236C,Chicago Collegiate Charter School,Beth Napleton,11816 S Indiana Ave,Chicago,60628 6227,773536-9098,5-12,029,15,02,4,170993006285
Cook,District Authorized Charter Sch,150162990,25,235C,Christopher House Chrt ES,Ms. Kristin Novy,5235 W Belden St,Chicago,60639 3001,773922-7542,P-7,003,02,04,4,170993006311
Cook,District Authorized Charter Sch,150162990,25,022C,Intrinsic Charter High School,Melissa Zaikos,4540 W Belmont Ave,Chicago,60641 4541,708887-2735,7-12,039,20,04,4,170993006293
Cook,District Authorized Charter Sch,150162990,25,240C,Horizon Sci Academy - Southwest Charter,Mr. Stephen Palmerin,5401 S Western Ave,Chicago,60609 5438,773498-3355,K-12,002,01,03,4,170993006331
