,RCDTS,School_Name,School_Type,County,#_Student_Enrollment,Perc_Student_Enrollment_Low_Income,Student_Attendance_Rate,$_Site_level_Per_Pupil_Expenditures_Subtotal,$_District_Centralized_Per_Pupil_Expenditure_Subtotal,$_Total_Per_Pupil_Expenditures_Subtotal,SAT_Reading_Average,SAT_Math_Average,Address,City,County_Name,Rec_Type,Zip,Lat,Lng,Avg_Home_Value
1226,5.0162E+13,Evanston Twp High School,HIGH SCHOOL,Cook,3514,36.5,91.5,20271,1949,22220,540.1,540.7,1600 Dodge Ave,Evanston,Cook,Sch,60201,42.0475443,-87.6997693,511257
6656,5.0162E+13,New Trier Township H S Winnetka,HIGH SCHOOL,Cook,2963,4.2,94.9,22428.8,3076.44,25505.24,611.9,627.6,385 Winnetka Ave,Winnetka,Cook,Sch,60093,42.09438,-87.7192627,1111715.17
6656,5.0162E+13,New Trier Township H S Northfield,HIGH SCHOOL,Cook,1015,2.6,96.2,22281.03,3076.44,25357.47,,,7 Happ Rd,Northfield,Cook,Sch,60093,42.0948865,-87.7667624,1111715.17
2120,5.01621E+13,Maine East High School,HIGH SCHOOL,Cook,1852,41.6,91.9,13382.03,5994.55,19376.58,491.2,497.3,2601 Dempster St,Park Ridge,Cook,Sch,60068,42.0373803,-87.8575843,421220.75
2120,5.01621E+13,Maine South High School,HIGH SCHOOL,Cook,2391,6.4,93.8,12801.7,5919.13,18720.83,559.6,577.8,1111 S Dee Rd,Park Ridge,Cook,Sch,60068,42.0013743,-87.8522847,421220.75
4387,5.01621E+13,Maine West High School,HIGH SCHOOL,Cook,2078,31.9,91.7,13504.78,5968.52,19473.3,495.7,500.5,1755 S Wolf Rd,Des Plaines,Cook,Sch,60018,42.0198117,-87.906624,271848.42
3248,5.01621E+13,J B Conant High School,HIGH SCHOOL,Cook,2334,27.9,96.3,14801,2839,17640,535.8,563,700 E Cougar Trl,Hoffman Estates,Cook,Sch,60169,42.037094,-88.062725,253211.67
3248,5.01621E+13,Hoffman Estates High School,HIGH SCHOOL,Cook,1959,50.6,95.4,18536,2629,21165,505.7,527.5,1100 W Higgins Rd,Hoffman Estates,Cook,Sch,60169,42.0529247,-88.1075151,253211.67
1622,5.01621E+13,Wm Fremd High School,HIGH SCHOOL,Cook,2576,15.1,97.1,14630,2848,17478,568.6,601.5,1000 S Quentin Rd,Palatine,Cook,Sch,60067,42.095368,-88.0653388,358262.08
2190,5.01621E+13,Palatine High School,HIGH SCHOOL,Cook,2566,55,95,17940,2641,20581,499,511.1,1111 N Rohlwing Rd,Palatine,Cook,Sch,60074,42.132177,-88.0217841,278336.83
6038,5.01621E+13,Schaumburg High School,HIGH SCHOOL,Cook,2095,32.8,96.3,16821,2622,19443,516.3,545.2,1100 W Schaumburg Rd,Schaumburg,Cook,Sch,60194,42.0275169,-88.1067125,271023
2670,5.01621E+13,Elk Grove High School,HIGH SCHOOL,Cook,1944,28.7,95.3,13076.78,7582.17,20658.95,500,508.2,500 W Elk Grove Blvd,Elk Grove Village,Cook,Sch,60007,42.0109726,-87.9974699,283051
636,5.01621E+13,John Hersey High School,HIGH SCHOOL,Cook,1898,11.6,96.3,12392.02,7349.11,19741.13,572.5,584.3,1900 E Thomas St,Arlington Heights,Cook,Sch,60004,42.1037131,-87.9589363,355290.92
455,5.01621E+13,Prospect High School,HIGH SCHOOL,Cook,2133,6.8,95.9,12315.52,7349.11,19664.63,569.6,588.6,801 W Kensington Rd,Mt Prospect,Cook,Sch,60056,42.0789422,-87.9498691,318196.25
1946,5.01621E+13,Wheeling High School,HIGH SCHOOL,Cook,1739,36.6,94.9,14475.26,7582.18,22057.44,485,493.8,900 S Elmhurst Rd,Wheeling,Cook,Sch,60090,42.1259361,-87.9386557,228273.67
