,RegionID,SizeRank,Zip,State,City,Metro,CountyName,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,AvgHomeValue
1,84654,1,60657,IL,Chicago,Chicago-Naperville-Elgin,Cook County,500823.0,497702.0,495472.0,495042.0,495231.0,495084.0,495689.0,495147.0,494290.0,493336.0,492329.0,491487.0,495136.0
4,84616,4,60614,IL,Chicago,Chicago-Naperville-Elgin,Cook County,656398.0,652874.0,650747.0,651430.0,651464.0,650606.0,650524.0,649878.0,648659.0,647684.0,646281.0,644917.0,650121.83
9,84640,9,60640,IL,Chicago,Chicago-Naperville-Elgin,Cook County,311913.0,309543.0,308026.0,308948.0,309995.0,310564.0,310999.0,311324.0,311253.0,311226.0,310688.0,310619.0,310424.83
17,84646,18,60647,IL,Chicago,Chicago-Naperville-Elgin,Cook County,445419.0,442885.0,440848.0,440372.0,440812.0,440935.0,441744.0,441969.0,441852.0,441601.0,441602.0,441464.0,441791.92
26,84620,28,60618,IL,Chicago,Chicago-Naperville-Elgin,Cook County,454906.0,452060.0,449913.0,449701.0,449934.0,449771.0,450086.0,449380.0,448361.0,447270.0,446141.0,445294.0,449401.42
49,84615,51,60613,IL,Chicago,Chicago-Naperville-Elgin,Cook County,355490.0,353514.0,352256.0,352685.0,353385.0,353797.0,354327.0,354339.0,353830.0,353161.0,352070.0,351329.0,353348.58
55,84627,57,60625,IL,Chicago,Chicago-Naperville-Elgin,Cook County,370849.0,368558.0,367474.0,366898.0,366975.0,366973.0,367409.0,367675.0,367557.0,367505.0,367147.0,367491.0,367709.25
61,84630,63,60629,IL,Chicago,Chicago-Naperville-Elgin,Cook County,180760.0,181065.0,181632.0,183104.0,183907.0,184623.0,185084.0,185424.0,185222.0,185152.0,185117.0,185088.0,183848.17
68,84612,70,60610,IL,Chicago,Chicago-Naperville-Elgin,Cook County,445051.0,441888.0,439276.0,438580.0,438970.0,439710.0,440553.0,440070.0,439002.0,438375.0,437437.0,436769.0,439640.08
90,84621,92,60619,IL,Chicago,Chicago-Naperville-Elgin,Cook County,130572.0,131882.0,132508.0,134331.0,134443.0,134892.0,134145.0,133366.0,132114.0,131098.0,130766.0,130265.0,132531.83
100,84613,102,60611,IL,Chicago,Chicago-Naperville-Elgin,Cook County,476524.0,474212.0,472580.0,471877.0,471941.0,471869.0,472107.0,471549.0,470598.0,470029.0,469140.0,468479.0,471742.08
128,84619,131,60617,IL,Chicago,Chicago-Naperville-Elgin,Cook County,107414.0,107864.0,108496.0,108956.0,108987.0,109228.0,110121.0,110695.0,110966.0,110869.0,111331.0,111774.0,109725.08
183,84622,187,60620,IL,Chicago,Chicago-Naperville-Elgin,Cook County,131682.0,132142.0,133609.0,134295.0,133716.0,132982.0,132766.0,132855.0,132716.0,132993.0,132957.0,133228.0,132995.08
